,restaurant_name,ratings,review,location
0,Long Tian,5.0,21 reviews,"246 Soi Tha Tian Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200 Thailand"
1,Above Eleven,4.5,"4,058 reviews","Sukhumvit Road Soi 11 Klong Toey, Bangkok 10110 Thailand"
2,Jua Phochana,0,0 reviews,"389, Soi 21, Arun Amarin Road Siriraj, Bangkok Noi, Bangkok Thailand"
3,Oishi Shabushi,3.5,12 reviews,"99 Soi Silom 4, 4th Floor, The Mall Thaphra Ratchadaphisek Road, Bukkhalo Subdistrict, Thon Buri District, Bangkok Thailand"
4,Thanusingha Bakery House,4.5,14 reviews,"Arun Amarin, Bangkok 10600 Thailand"
5,Nai Soon Charoen Nakhon,5.0,2 reviews,"280, Soi Charoen Nakhon 12, Charoen Nakhon Rd At the fork of Soi 12, Bangkok 10600 Thailand"
6,หน้ามอร์,4.0,1 review,"1125/3 __________ 15 _____________ _________, Bangkok 10600 Thailand"
7,Ruangrueng Poshana,4.5,4 reviews,"379/7-8     Road,_______ Subdistrict_______ DistrictBangkok Yai, Bangkok Thailand"
8,ThingThings,5.0,1 review,"374 Thoet Thai 19 Bang Yi Ruea, Thon Buri, Bangkok Thailand"
9,The Coffee Club - Riverside Plaza,4.5,113 reviews,"Riverside Plaza, 257 Charoen Nakorn Rd. Samrae, Thonburi, Bangkok 10120 Thailand"
10,Jirafu Sushi Bar,4.5,40 reviews,"655 Ladprao Road Between Ladprao Soi 5 and 5/1, Bangkok 10900 Thailand"
11,Mezzo Coffee,0,0 reviews,"5 Ratchadaphisek Road Fortune Tower 4th floor, Din Daeng Subdistrict, Din Daeng District, Bangkok 10320 Thailand"
12,Rang Mahal Restaurant,4.5,"1,762 reviews","19 Sukhumvit Soi 18, Sukhumvit Road, Klong Toei On the 26th floor at The Rembrandt Hotel Bangkok, Bangkok 10110 Thailand"
13,MASU Maki & Sushi Bar,4.5,213 reviews,"Soi Sukhumvit 39, Sukhumvit Road No.15, Bangkok 10110 Thailand"
14,Gooodluck s (Home) Cafe,4.5,7 reviews,"23 near BTS Wongwian Yai Station, Krung Thon Buri Road, Bang Yee Ruea Subdistrict, Thon Buri District., Bangkok Thailand"
15,Bangkok Bold Kitchen,4.5,59 reviews,"257, Charoen Nakhon Road Samre, Thon Buri, 2nd Floor, Bangkok 10600 Thailand"
16,Brio,4.5,604 reviews,"257/1-3 Charoennakorn Road Thonburi, Anantara Bangkok Riverside, Bangkok 10600 Thailand"
17,Le Petit Chef - Sheraton Grande Bangkok,5.0,1 review,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei Sheraton Grande Sukhumvit, Bangkok 10110 Thailand"
18,Hachiban Ramen,4.0,21 reviews,"99 B Floor The Esplanade Ratchadapisek Road Din Daeng Subdistrict Din Daeng District, Bangkok Thailand"
19,Riverside Terrace,5.0,"1,628 reviews","257/1-3 Charoennakorn Road Anantara Bangkok Riverside, Bangkok 10600, Thailand"
20,Miyabi Grill,4.0,4 reviews,"Ratchadaphisek Road 4th Floor, The Mall Thaphra, Power Mall Side, Bukkhalo Subdistrict, Thon Buri District, Bangkok Thailand"
21,Sizzler - The Riverside,4.0,14 reviews,"257 Charoennakorn Rd Riverside Plaza, Bangkok Thailand"
22,Start-Up Cafe,4.0,1 review,"699 Charoen Nakhon Rd Khlong Tonsai, Khlong San, Bangkok 10600 Thailand"
23,Donburi by Jirafu : United Center Silom Branch,4.5,26 reviews,"323 Si Lom Road Floor B1, United Center, Bangkok 10500 Thailand"
24,Skyline,5.0,201 reviews,"257 Charoennakorn Road, Thonburi AVANI Riverside Bangkok Hotel, Bangkok 10600 Thailand"
25,Bistro 2011,0,0 reviews,"115 Rimtang Road Fai, Bangkok Thailand"
26,Numero Uno,4.5,233 reviews,"257/1-3 Charoennakorn Road Thonburi, Anantara Bangkok Riverside, Bangkok 10600 Thailand"
27,Be-Tong Chicken with Rice - Fortune Town,4.5,2 reviews,"1 Ratchadaphisek Rd Fortune Town Shopping Center, G Floor, Food Avenue Zone, Bangkok 10310 Thailand"
28,Swensens,3.0,1 review,"99, B Floor, The Mall Ta Phra, Ratchadaphisek Road , Bookkalo Subdistrict, Thon Buri District., Bangkok Thailand"
29,Baan Khanitha & Gallery,4.0,"1,054 reviews","67, 69 South Sathorn Road Thungmahamek, Sathorn, Bangkok 10120 Thailand"
30,Joke Moo Thong Samre Branch,3.0,1 review,"203-205 between Soi 19-21, Somdet Phra Chao Taksin Road Bukkhalo, Thon Buri, Bangkok 10600 Thailand"
31,Tsujiri Iconsiam,4.0,3 reviews,"92 Charoen Nakhon Rd Iconsiam, 6th floor, Room No. 608, Bangkok 10600 Thailand"
32,Benihana,5.0,"1,879 reviews","257 Charoennakorn Road, Samrae, Thonburi Riverside Plaza, Bangkok 10600 Thailand"
33,Hot Pot Inter Buffet,2.0,2 reviews,"99 4th Floor, The Mall Thaphra, Ratchadaphisek Road, Bukkhalo Subdistrict, Thon Buri District, Bangkok Thailand"
34,Goong Korean Hot Plate,4.0,7 reviews,"99 Ratchadapisek Rd. B Floor, at The Esplanade, Din Daeng, Bangkok 10400 Thailand"
35,Grand Palace Restaurant - Iconsiam,3.5,4 reviews,"299, Charoen Nakhon Road Iconsiam, 6th Floor, Bangkok 10600 Thailand"
36,Wandee Coffee By Koy,0,0 reviews,"Arun Amarin Road, Bangkok 10600 Thailand"
37,Pa Noi Sapan Lek,5.0,4 reviews,"Somdet Phra Chao Tak Sin Road Thonburi, Bangkok 10600 Thailand"
38,Ministry Of Crab - Bangkok,5.0,92 reviews,"31 Sam-ed No.15, 1 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana, Bangkok 10110 Thailand"
39,Baan Khaek Fried Pork,0,0 reviews,"302 Prajadhipok Rd, Khwaeng Wat Kanlaya, Khet Thon Buri, Bangkok 10600 Thailand"
40,Ruang Pochana Fish Noodle,0,0 reviews,"Somdet Phra Chao Tak Sin Road, Bangkok 10060 Thailand"
41,Trader Vic's,4.5,887 reviews,"257 Charoennakorn Road Anantara Bangkok Riverside, Bangkok Thailand"
42,Make Me Mango,3.5,2 reviews,"299, Charoen Nakhon Rd Khlong Ton Sai, Khlong San, Siam Takashimaya Branch, UG Floor, Bangkok 10600 Thailand"
43,Pornsawan Pad Thai Goong Sod,0,0 reviews,"Thoet Thai 27 Alley Talat Phlu, Thon Buri, Bangkok 10600 Thailand"
44,Spice & Barley,5.0,27 reviews,"257 Charoennakorn Road, Thonburi Anantara Riverside Bangkok Resort, Bangkok 10600 Thailand"
45,We Coffee & Steak,0,0 reviews,"18/2 Soi Krung Thon Buri 4, near BTS Wongwien Yai Station, Krung Thon Buri Road, Bang Yee Ruea Subdistrict, Thon Buri District., Bangkok Thailand"
46,Tong Leng Noodle,4.5,7 reviews,"Thoetthai Rd. Talat Phlu, Thon Buri, Bangkok 10600 Thailand"
47,Sunee Red Pork Rice,4.5,3 reviews,"854/8 Soi Thoet Thai 25 Talad Plu, Bangkok 10600 Thailand"
48,Shrimp Fishing Park Restaurant,3.0,1 review,"Soi Ratchadaphisek 8 , Khwaeng Bukkhalo, Khet Thon Buri, Bangkok 10600 Thailand"
49,Chef Pom Kitchen - Charoennakorn,4.0,21 reviews,"209/3-209/6 Charoennakorn Rd, Bangkok 10600 Thailand"
50,Basil Thai Kitchen Riverside,3.5,22 reviews,"257, 6 Charoen Nakhon Rd Samre, Thon Buri, Riverside Plaza, Bangkok 10600 Thailand"
51,Bonchon - Iconsiam,3.5,7 reviews,"299, Charoen Nakhon Road Khlong Ton Sai, Khlong San, Iconsiam, 6th Floor, Unit 604, Bangkok Thailand"
52,Somtam Rua,4.0,1 review,"Soi Wang Lang, Arun Ammarin Road Siriraj, Bangkok Noi, Bangkok 10700 Thailand"
53,Kushikatsu Ishimoto,4.0,26 reviews,"62/5-6 Silom Rd. Suriya Wong., Bangkok 10500 Thailand"
54,Rumruay Cafe,4.0,3 reviews,"Arun Amarin Rd., Sirirat Sub-District, Bangkok Noi District, Bangkok Thailand"
55,Moom Tuek,5.0,1 review,"87/9, at the front of Soi Ratchadaphisek 14 Lane, Ratchadaphisek Rd., Talat Phlu Sub-District, Thon Buri District, Bangkok Thailand"
56,Cha-Roen-Chai Restaurant,5.0,2 reviews,"Soi Somdet Phra Chao Tak Sin 6 Bang Yi Ruea, Thon Buri, Bangkok 10600 Thailand"
57,Rot Rue Dee,5.0,3 reviews,"606 Charoen Nakorn Road Khwaeng Bang Lamphu Lang, Khet Khlong San, Bangkok 10600 Thailand"
58,Coffee Culture Thailand,5.0,3 reviews,"4/2 M.1, Srisoonthorn Rd, Cherngtalay, Phuket 83110 Thailand"
59,SEEN Restaurant & Bar Bangkok,5.0,"1,568 reviews","257/1-3 Charoennakorn Road, Thonburi AVANI Riverside Bangkok Hotel, Bangkok 10600 Thailand"
60,Thai Express-Riverside Plaza,5.0,5 reviews,"Charoen Nakorn Rd. Riverside Plaza, Samrae, Bangkok 10600 Thailand"
61,Daidomon,0,0 reviews,"99, G Floor, The Mall Tha Phra, Ratchadaphisek Rd. , Bukkalo Sub-District, Thon Buri District, Bangkok Thailand"
62,Hachiban Ramen,3.5,22 reviews,"The Mall Tha Phra, 1st Floor, 99 Ratchadaphisek Rd. Bukkhalo, Thon Buri, Bangkok 10600 Thailand"
63,Kao Tom,5.0,2 reviews,"247 Rachadapisek Road, at Chaophya Park Hotel, Dindaeng,, Bangkok 10400 Thailand"
64,Conner Yummy,0,0 reviews,"Soi Wat Bangsakaenok , Thoet Thai Road Talat Phlu, Thon Buri, Bangkok 10600 Thailand"
65,Scala Shark Fin,3.5,3 reviews,"127 Pinklao Road, Arun Amarin Subdistrict, Bangkok Noi District, Bangkok Thailand"
66,Helo Nomsod,4.5,3 reviews,"14, Thetsaban Sai 1 Road Wat Kanlaya, Thon Buri, Bangkok 10600 Thailand"
67,Fat Cat Restaurant,4.5,2 reviews,"Taksin-Phetkasem Road, Bangkok 10600 Thailand"
68,Mei Yuan Chinese Restaurant,4.0,4 reviews,"1421 Soi Ratchada-Thaphra 13, Jolly Suit and Spa, Ratchadaphisek Road, Talad Phlu Subdistrict, Thon Buri District, Bangkok Thailand"
69,Lek Hong Fish Porridge,0,0 reviews,"Soi Therdthai 25, Thoet Thai Road, Bangkok 10600 Thailand"
70,Hong Kong Kitchen,4.0,1 review,"99 Ratchadapisek Rd. Floor M, The Esplanade, Bangkok 10400 Thailand"
71,Hanoi Kitchen,4.0,30 reviews,"634 Chareon Nakhon road 634 ถ. เจริญนคร, Bangkok Thailand"
72,Blackcanyon,4.0,4 reviews,"99 The Mall Tha Phra, Ratchadapisek Road, Bhukkalo Subdistrict, Thon Buri District, Bangkok Thailand"
73,JOKEMOOTHONG,0,0 reviews,"203-205 Is Between Soi 19-21 Somdet Phrachao Taksin Road, Bukkhalo, Thon Buri, Bangkok 10600 Thailand"
74,Pinto,0,0 reviews,"80 BTS Station Wong Wien Yai, Krung Thon Buri Road, Bang Yeerua Subdistrict, , Thon Buri District, Bangkok Thailand"
75,Ichika Omakase,5.0,27 reviews,"19 Sukhumvit Soi 18, Sukhumvit Road Klong Toei, M Floor, Rembrandt Hotel Bangkok, Bangkok 10110 Thailand"
76,Medici Kitchen & Bar,4.5,"1,236 reviews","55/555 Langsuan Road Lumpini, Pathumwan, Bangkok 10330 Thailand"
77,Amritsr @11,5.0,237 reviews,"26/13 Sukhumvit Soi 11, Khlong Toei Eleven Bangkok, Next To Holiday Inn Express, Bangkok 10110 Thailand"
78,Longtail Bar,5.0,157 reviews,"257/1-3 Charoennakorn Road, Thonburi, Bangkok 10600 Thailand"
79,Kobune,4.0,33 reviews,"Rachadapisek Rd Fortune Tower, Bangkok Thailand"
80,Kanom Whan Talad Plu,5.0,2 reviews,"1129, Soi Thoet Thai 25 Talad Plu Market, Bangkok 10600 Thailand"
81,Little Home Bakery 1966,3.5,10 reviews,"257, 1st Floor, Royal Garden Plaza, Charoen Nakhon Rd., Bukkhalo Sub-District, Thon Buri District, Bangkok Thailand"
82,LYNX Specialty Coffee,5.0,4 reviews,"1020/1, Thoet Thai Road Talat Phlu, Thon Buri, Bangkok 10600 Thailand"
83,88 Ounce Cafe,0,0 reviews,"62, Ratchaphruek Road Bang Yi Ruea, Thon Buri, Pho Nimit BTS Station, Bangkok 10600 Thailand"
84,Sor. Wang Mai Hua Pla Mor Fai,0,0 reviews,"59 Charoen Nakhon Rd, Samre, Bangkok 10600 Thailand"
85,Shabuya 888,4.5,10 reviews,"Central Pinklao Rama 8, 60 Arun Amarin Road Bang Yi Khan, Bang Phlat, Bangkok 10700 Thailand"
86,Archie,4.5,3 reviews,"254, 256 Prajadhipok Rd, Bangkok 10600 Thailand"
87,TanTan Izakaya Buffet,3.5,7 reviews,"Esplanade Ratchada, G Floor, 99 Rachadapisek Rd, Dindaeng, Bangkok 10400 Thailand"
88,Kokoa Hut,0,0 reviews,"99 G Floor The Mall Tha Phra Ratchadapisek Bukkalo Subdistrict Thonburi District, Bangkok Thailand"
89,1826 Mixology & Rooftop Bar,5.0,172 reviews,"19 Sukhumvit Soi 18 Khlong Toei, Bangkok 10110 Thailand"
90,Lost & Found,5.0,7 reviews,"257 Charoennakorn Road, Samrae, Thonburi Within Avani+ Riverside Bangkok Hotel, Bangkok 10600 Thailand"
91,J Shabu,4.0,1 review,"329 Thoet Thai Rd, Bangkok 10600 Thailand"
92,,0,,
93,,0,,
94,,0,,
95,,0,,
96,,0,,
97,,0,,
98,,0,,
99,,0,,
100,,0,,
101,,0,,
102,,0,,
103,,0,,
104,,0,,
105,,0,,
106,,0,,
107,,0,,
108,,0,,
109,,0,,
110,,0,,
111,,0,,
112,,0,,
113,,0,,
114,,0,,
115,,0,,
116,,0,,
117,,0,,
118,,0,,
119,,0,,
120,,0,,
121,,0,,
122,,0,,
123,,0,,
124,,0,,
125,,0,,
126,,0,,
127,,0,,
128,,0,,
129,,0,,
130,,0,,
131,,0,,
132,,0,,
133,,0,,
134,,0,,
135,,0,,
136,,0,,
137,,0,,
138,,0,,
139,,0,,
140,,0,,
141,,0,,
142,,0,,
143,,0,,
144,,0,,
145,,0,,
146,,0,,
147,,0,,
148,,0,,
149,,0,,
150,,0,,
151,,0,,
152,,0,,
153,,0,,
154,,0,,
155,,0,,
156,,0,,
157,,0,,
158,,0,,
159,,0,,
160,,0,,
161,,0,,
162,,0,,
163,,0,,
164,,0,,
165,,0,,
166,,0,,
167,,0,,
